Country,Event month,Sub-Event Type,Fatalities
Mexico,2023-01-01,Abduction/forced disappearance,0
Mexico,2023-01-01,Air/drone strike,0
Mexico,2023-01-01,Armed clash,185
Mexico,2023-01-01,Attack,507
Mexico,2023-01-01,Grenade,0
Mexico,2023-01-01,Sexual violence,2
Mexico,2023-01-01,Remote explosive/landmine/IED,0
Mexico,2023-02-01,Abduction/forced disappearance,0
Mexico,2023-02-01,Air/drone strike,0
Mexico,2023-02-01,Armed clash,96
Mexico,2023-02-01,Attack,438
Mexico,2023-02-01,Grenade,0
Mexico,2023-02-01,Sexual violence,4
Mexico,2023-02-01,Remote explosive/landmine/IED,0
Mexico,2023-03-01,Abduction/forced disappearance,0
Mexico,2023-03-01,Air/drone strike,0
Mexico,2023-03-01,Armed clash,116
Mexico,2023-03-01,Attack,480
Mexico,2023-03-01,Grenade,0
Mexico,2023-03-01,Sexual violence,0
Mexico,2023-03-01,Remote explosive/landmine/IED,0
Mexico,2023-04-01,Abduction/forced disappearance,0
Mexico,2023-04-01,Air/drone strike,0
Mexico,2023-04-01,Armed clash,107
Mexico,2023-04-01,Attack,507
Mexico,2023-04-01,Grenade,0
Mexico,2023-04-01,Sexual violence,0
Mexico,2023-04-01,Remote explosive/landmine/IED,0
Mexico,2023-05-01,Abduction/forced disappearance,0
Mexico,2023-05-01,Air/drone strike,0
Mexico,2023-05-01,Armed clash,124
Mexico,2023-05-01,Attack,520
Mexico,2023-05-01,Grenade,0
Mexico,2023-05-01,Sexual violence,1
Mexico,2023-05-01,Remote explosive/landmine/IED,0
Mexico,2023-06-01,Abduction/forced disappearance,0
Mexico,2023-06-01,Air/drone strike,0
Mexico,2023-06-01,Armed clash,133
Mexico,2023-06-01,Attack,419
Mexico,2023-06-01,Grenade,0
Mexico,2023-06-01,Sexual violence,0
Mexico,2023-06-01,Remote explosive/landmine/IED,1
Mexico,2023-07-01,Abduction/forced disappearance,0
Mexico,2023-07-01,Air/drone strike,0
Mexico,2023-07-01,Armed clash,133
Mexico,2023-07-01,Attack,562
Mexico,2023-07-01,Grenade,0
Mexico,2023-07-01,Sexual violence,0
Mexico,2023-07-01,Remote explosive/landmine/IED,6
Mexico,2023-08-01,Abduction/forced disappearance,0
Mexico,2023-08-01,Air/drone strike,1
Mexico,2023-08-01,Armed clash,110
Mexico,2023-08-01,Attack,581
Mexico,2023-08-01,Grenade,0
Mexico,2023-08-01,Sexual violence,5
Mexico,2023-08-01,Remote explosive/landmine/IED,0
Mexico,2023-09-01,Abduction/forced disappearance,0
Mexico,2023-09-01,Air/drone strike,0
Mexico,2023-09-01,Armed clash,90
Mexico,2023-09-01,Attack,499
Mexico,2023-09-01,Grenade,0
Mexico,2023-09-01,Sexual violence,0
Mexico,2023-09-01,Remote explosive/landmine/IED,0
Mexico,2023-10-01,Abduction/forced disappearance,0
Mexico,2023-10-01,Air/drone strike,0
Mexico,2023-10-01,Armed clash,87
Mexico,2023-10-01,Attack,448
Mexico,2023-10-01,Grenade,0
Mexico,2023-10-01,Sexual violence,1
Mexico,2023-10-01,Remote explosive/landmine/IED,0
Mexico,2023-11-01,Abduction/forced disappearance,0
Mexico,2023-11-01,Air/drone strike,0
Mexico,2023-11-01,Armed clash,106
Mexico,2023-11-01,Attack,363
Mexico,2023-11-01,Grenade,0
Mexico,2023-11-01,Sexual violence,2
Mexico,2023-11-01,Remote explosive/landmine/IED,0
Mexico,2023-12-01,Abduction/forced disappearance,0
Mexico,2023-12-01,Air/drone strike,0
Mexico,2023-12-01,Armed clash,118
Mexico,2023-12-01,Attack,385
Mexico,2023-12-01,Grenade,0
Mexico,2023-12-01,Sexual violence,4
Mexico,2023-12-01,Remote explosive/landmine/IED,1
Mexico,2024-01-01,Abduction/forced disappearance,0
Mexico,2024-01-01,Air/drone strike,0
Mexico,2024-01-01,Armed clash,141
Mexico,2024-01-01,Attack,450
Mexico,2024-01-01,Grenade,0
Mexico,2024-01-01,Sexual violence,3
Mexico,2024-01-01,Remote explosive/landmine/IED,2
Mexico,2024-02-01,Abduction/forced disappearance,0
Mexico,2024-02-01,Air/drone strike,0
Mexico,2024-02-01,Armed clash,117
Mexico,2024-02-01,Attack,507
Mexico,2024-02-01,Grenade,0
Mexico,2024-02-01,Sexual violence,0
Mexico,2024-02-01,Remote explosive/landmine/IED,2
Mexico,2024-03-01,Abduction/forced disappearance,0
Mexico,2024-03-01,Air/drone strike,0
Mexico,2024-03-01,Armed clash,129
Mexico,2024-03-01,Attack,481
Mexico,2024-03-01,Grenade,0
Mexico,2024-03-01,Sexual violence,1
Mexico,2024-03-01,Remote explosive/landmine/IED,3
Mexico,2024-04-01,Abduction/forced disappearance,0
Mexico,2024-04-01,Air/drone strike,0
Mexico,2024-04-01,Armed clash,89
Mexico,2024-04-01,Attack,558
Mexico,2024-04-01,Grenade,0
Mexico,2024-04-01,Sexual violence,5
Mexico,2024-04-01,Remote explosive/landmine/IED,0
Mexico,2024-05-01,Abduction/forced disappearance,0
Mexico,2024-05-01,Air/drone strike,0
Mexico,2024-05-01,Armed clash,123
Mexico,2024-05-01,Attack,565
Mexico,2024-05-01,Grenade,0
Mexico,2024-05-01,Sexual violence,0
Mexico,2024-05-01,Remote explosive/landmine/IED,0
Mexico,2024-06-01,Abduction/forced disappearance,0
Mexico,2024-06-01,Air/drone strike,0
Mexico,2024-06-01,Armed clash,128
Mexico,2024-06-01,Attack,604
Mexico,2024-06-01,Grenade,0
Mexico,2024-06-01,Sexual violence,2
Mexico,2024-06-01,Remote explosive/landmine/IED,0
Mexico,2024-07-01,Abduction/forced disappearance,0
Mexico,2024-07-01,Air/drone strike,0
Mexico,2024-07-01,Armed clash,116
Mexico,2024-07-01,Attack,605
Mexico,2024-07-01,Grenade,0
Mexico,2024-07-01,Sexual violence,5
Mexico,2024-07-01,Remote explosive/landmine/IED,0
Mexico,2024-08-01,Abduction/forced disappearance,0
Mexico,2024-08-01,Air/drone strike,7
Mexico,2024-08-01,Armed clash,127
Mexico,2024-08-01,Attack,515
Mexico,2024-08-01,Grenade,0
Mexico,2024-08-01,Sexual violence,10
Mexico,2024-08-01,Remote explosive/landmine/IED,0
Mexico,2024-09-01,Abduction/forced disappearance,0
Mexico,2024-09-01,Air/drone strike,0
Mexico,2024-09-01,Armed clash,164
Mexico,2024-09-01,Attack,579
Mexico,2024-09-01,Grenade,0
Mexico,2024-09-01,Sexual violence,1
Mexico,2024-09-01,Remote explosive/landmine/IED,0
Mexico,2024-10-01,Abduction/forced disappearance,0
Mexico,2024-10-01,Air/drone strike,1
Mexico,2024-10-01,Armed clash,187
Mexico,2024-10-01,Attack,665
Mexico,2024-10-01,Grenade,0
Mexico,2024-10-01,Sexual violence,3
Mexico,2024-10-01,Remote explosive/landmine/IED,1
Mexico,2024-11-01,Abduction/forced disappearance,0
Mexico,2024-11-01,Air/drone strike,0
Mexico,2024-11-01,Armed clash,129
Mexico,2024-11-01,Attack,618
Mexico,2024-11-01,Grenade,0
Mexico,2024-11-01,Sexual violence,9
Mexico,2024-11-01,Remote explosive/landmine/IED,0
Mexico,2024-12-01,Abduction/forced disappearance,0
Mexico,2024-12-01,Air/drone strike,2
Mexico,2024-12-01,Armed clash,101
Mexico,2024-12-01,Attack,477
Mexico,2024-12-01,Grenade,0
Mexico,2024-12-01,Sexual violence,2
Mexico,2024-12-01,Remote explosive/landmine/IED,4
